Findlay,,,,,,
,,,,,,
Name,Item No,Pack,Split,Desc,Where,Category
Sugar,9570,1U,Y,Granulated,Pantry,
Cod Tails,42305,1/10lb,N,5oz,Freezer,Meat
Panini Buns,38352,45/120gm,N,Swiss,Freezer,
Bacon,27126,1/5kg,N,16/18 Center Cut,Fridge,Meat
Worchestershire Sauce,6536,2/3.78lt,Y,,Pantry,Bar
Tabasco Sauce,6527,1/350ml,Y,Large,Pantry,Bar
Wings,31654,8/5lb,Y,8/10 IQF Split,Freezer,Meat
Cheese Balls,35610,1/5lb,N,Cheddar 32+/lb,Freezer,
Butt Shrimp,43187,4/25.lb,Y,"Breaded, Butterfly 21/25",Freezer,Seafood
Cheddar,20595,1/2.5kg,Y,Shredded,Fridge,
Clamato,10166,8/1.89lt,Y,Jug,Pantry,Bar
Wet Naps,55251,1/1000's,N,Moist Towelettes,Pantry,
Sour Cream,44144,1/10lt,N,"14%, “Big”",Fridge,Dairy
Mayo,5159,1/16lt,N,"Kraft – Real, “Big”",Pantry,
Mayo,5157,2/3.78lt,N,"Kraft – Real, “Little”",Pantry,
Jalapenos,1110,1/102oz,Y,"Sliced, Can",Pantry,
Plastic Portion Cup,54502,10/250's,Y,"3.25oz, Translucent",Pantry,Paper/Plastic
Basket Liners,55773,1/2000's,N,"Red, Checkers",Pantry,Paper/Plastic
Portion Bag,54122,1/500's,N,2lb,Pantry,Paper/Plastic
Paper Towels,55315,24/205ft,N,"8”, Brown",Pantry,Paper/Plastic
Onion Rings,20329,1/4kg,N,Battered,Freezer,
Sweet Potato Fries,22117,6/2.5lb,Y,Plank,Freezer,
Chicken Breast,32789,1/4kg,N,"Breaded, Supreme Crunch",Freezer,Meat
"Gouda, Smoked",20637,1/4.37kg,N,Wheel,Fridge,Dairy
Monterey Jack,20631,4/2.5kg,Y,Shredded,Fridge,Dairy
Cheddar,20595,4/2.5kg,Y,Shredded,Fridge,Dairy
Table Cream,44161,12/1lt,Y,18.00%,Fridge,Dairy
Lemon Pepper,13977,1/795gm,N,Spice,Pantry,Spice
Ranch,5191,2/3.78lt,Y,Ranchers Choice,Pantry,Sauce & Dressings
Olive Oil,13736,1/3lt,N,"Pure, Extra Virgin",Pantry,Oil & Vinegar
Canola ,13745,1/16lt,N,"Canola Oil, Box",Pantry,Oil & Vinegar
Dinner Napkins,55245,12/250's,N,"1-ply, 8 fold",Pantry,Paper/Plastic
Mozza Sticks,35608,1/5lb,N,Breaded,Freezer,
Pretzel,36634,48/3oz,N,w/Salt Pack,Freezer,
Brie,20494,1/300gm,Y,,Fridge,Dairy
Cream Cheese,20820,1/1.5kg,Y,Plain,Fridge,Dairy
Chopped Garlic,5225,6/1kg,Y,"In Oil,",Fridge,
Buttermilk,44183,12/1lt,Y,,Fridge,Dairy
Battered Mushrooms,20341,1/5lb,N,Button,Freezer,
Ground Beef,22372,2/2.27kg,Y,"Lean, Cock",Fridge,Meat
Feta,20654,1/3kg,N,,Fridge,Dairy
Bags,42512,1/1000's,N,T-Shirt Style,Pantry,Paper/Plastic
Garbage Bags,54172,1/100's,N,35 x 50,Pantry,Paper/Plastic
Chicken Breasts,31648,1/4kg,N,"50z, Boneless, Skinless",Freezer,Meat
Calamari,42751,6/2lb,Y,Breaded,Freezer,Seafood
Margarine,44250,1/13kg,N,“Big”,Fridge,
Gravy,3135,8/467gm,N,Brown,Pantry,
Lemon Juice,10262,12/945ml,Y,Concentrate,Pantry,
Big Takeout,54397,2/100's,Y,9x9,Pantry,Paper/Plastic
Tortilla,1173,12/12's,Y,"12”, Flour",Freezer,
Parmesan,20702,2/1kg,Y,Shredded,Fridge,Dairy
Caesar,5098,2/3.78lt,Y,"Mighty, Gourmet",Fridge,Sauce & Dressings
Cheese Curd,20604,1/2kg,Y,White,Fridge,Dairy
Greek Seasoning,14210,1/510gm,Y,,Fridge,Spice
Salt,13792,1/3lb,Y,Kosher,Pantry,Spice
Beef Soup Base,2894,4/946ml,Y,"Liquid, Concentrate",Pantry,Sauce & Dressings
Honey Garlic,6479,2/4lt,Y,Wing Sauce,Pantry,Sauce & Dressings
Franks,6450,2/3.78lt,Y,"Red Hot, Wing Sauce",Pantry,Sauce & Dressings
Nacho Chips,1185,4/1.5lb,Y,"Round, Yellow",Pantry,
Ketchup,6950,500/8ml,N,Individual,Pantry,
Vinegar,7255,4/5lt,Y,"White, Jug",Pantry,
Lids,54503,25/100's,Y,3.5/4oz Lids,Pantry,Paper/Plastic
Chicken Strips,32731,2/2kg,N,Love Me Tenders,Freezer,Meat
Corn Chips,1961,41/50's,Y,"6”, White",Freezer,
Taco “Shells”,1805,42/12's,Y,"6”, White, Soft",Freezer,
Garbage Bags,54169,1/125's,N,26 x 36,Pantry,Paper/Plastic
Dill Weed,13946,1/140gm,N,Rubbed,Pantry,Spice
Medium Sauce,6425,2/3.7lt,Y,"2nd Degree, Wing Sauce",Pantry,Sauce & Dressings
Dish Soap,72100,4/4lt,Y,Lemon,Pantry,Chemical
Coconut Shrimp,43218,4/2.5lb,Y,,Freezer,Seafood
Salsa,1185,4/3.27lt,Y,"Mild, Thick/Chunky",Pantry,Sauce & Dressings
Small Takeout,54395,1/250's,Y,,Pantry,Paper/Plastic
J-Cloth,55350,1/100's,N,Blue,Pantry,
Orange Juice,10101,6/1.89lt,Y,,Fridge,Bar
Ketchup,6975,6/100oz,Y,Cans,Pantry,
Tomatoes,702,6/3lt,Y,"Whole, Plum",Pantry,
Corn Flakes,4731,4/728gm,Y,Cereal,Pantry,
Cook Out,70815,4/4lt,Y,Grill & Fryer Cleaner,Pantry,Chemical
Sub Buns,36354,40/140gm,N,"12”, Fully Baked",Freezer,
Sour Cream,44156,1/2lt,N,Little Sour Cream,Fridge,Dairy
Blue Cheese Dressing,5065,2/3.78lt,Y,,Fridge,Sauce & Dressings
Plum Sauce,6475,4/4lt,Y,,Pantry,Sauce & Dressings
